内部货号,计量单位,,
1002898,件,,
1002899,件,,
1002900,件,,
1002901,件,,
1002902,件,,
1002903,件,,
1002904,件,,
1002905,件,,
1002906,件,,
1002907,件,,
1003533,件,,
1003534,件,,
1000588,件,,
1000589,件,,
1000590,件,,
1000591,件,,
1000592,件,,
1000593,件,,
1000594,件,,
1000595,件,,
1000596,件,,
1000597,件,,
1000598,件,,
1000599,件,,
1000600,件,,
1000601,件,,
1000602,件,,
1000603,件,,
1000604,件,,
1000605,件,,
1000606,件,,
1000607,件,,
1000608,件,,
1000611,件,,
1000623,件,,
1000624,件,,
1000625,件,,
1000626,件,,
1000627,件,,
1000628,件,,
1000629,件,,
1000630,件,,
1000635,件,,
1000636,件,,
1000637,件,,
1000638,件,,
1000639,件,,
1000640,件,,
1000641,件,,
1000642,件,,
1000643,件,,
1000644,件,,
1000645,件,,
1000646,件,,
1000647,件,,
1000648,件,,
1000649,件,,
1000650,件,,
1000651,件,,
1000652,件,,
1000653,件,,
1000654,件,,
1000655,件,,
1000656,件,,
1000657,件,,
1000658,件,,
1000659,件,,
1000660,件,,
1000661,件,,
1000662,件,,
1000664,件,,
1000665,件,,
1000667,件,,
1000668,件,,
1000669,件,,
1000670,件,,
1000671,件,,
1000672,件,,
1000674,件,,
1000675,件,,
1000676,件,,
1000677,件,,
1000678,件,,
1000679,件,,
1000680,件,,
1000681,件,,
1000682,件,,
1000683,件,,
1000684,件,,
1000685,件,,
1000686,件,,
1000687,件,,
1000693,件,,
1000694,件,,
1000696,件,,
1000697,件,,
1000698,件,,
1000699,件,,
1000700,件,,
1000701,件,,
1000702,件,,
1000703,件,,
1000704,件,,
1000705,件,,
1000706,件,,
1000707,件,,
1000708,件,,
1000709,件,,
1000710,件,,
1000711,件,,
1000712,件,,
1000713,件,,
1000732,件,,
1000733,件,,
1000790,件,,
1000791,件,,
1000792,件,,
1000793,件,,
1000794,件,,
1000795,件,,
1000796,件,,
1000797,件,,
1000798,件,,
1000799,件,,
1000800,件,,
1000801,件,,
1000802,件,,
1000833,袋,,
1000834,袋,,
1000835,袋,,
1000836,袋,,
1000837,袋,,
1000838,袋,,
1000839,袋,,
1000840,袋,,
1000841,袋,,
1000842,袋,,
1000843,袋,,
1000844,袋,,
1000845,件,,
1000846,件,,
1000847,件,,
1000848,袋,,
1000849,袋,,
1000850,袋,,
1000851,袋,,
1000852,袋,,
1000853,袋,,
1000854,袋,,
1000855,袋,,
1000856,袋,,
1000857,袋,,
1000858,袋,,
1000859,袋,,
1000860,袋,,
1000861,袋,,
1001065,件,,
1001066,件,,
1001067,件,,
1001068,件,,
1001069,袋,,
1001070,袋,,
1001071,袋,,
1001072,袋,,
1001073,袋,,
1001664,件,,
1001665,件,,
1001666,件,,
1001668,件,,
1001792,件,,
1001793,件,,
1001794,件,,
1001795,件,,
1001796,件,,
1001797,件,,
1001798,件,,
1001799,件,,
1001800,件,,
1002036,件,,
1002037,件,,
1002038,件,,
1002039,件,,
1002040,件,,
1002041,件,,
1002042,件,,
1002043,件,,
1002044,件,,
1002045,件,,
1002046,件,,
1002047,件,,
1002048,件,,
1002049,件,,
1002050,件,,
1002051,件,,
1002052,件,,
1002053,件,,
1002054,件,,
1002055,件,,
1002056,件,,
1002057,件,,
1002058,件,,
1002059,件,,
1002060,件,,
1002061,件,,
1002062,件,,
1002063,件,,
1002064,件,,
1002065,件,,
1002066,件,,
1002067,件,,
1002068,件,,
1002069,件,,
1002070,件,,
1002071,件,,
1002112,件,,
1002113,件,,
1002114,件,,
1002115,件,,
1002116,件,,
1002117,件,,
1002118,件,,
1002234,件,,
1002237,件,,
1002239,件,,
1002240,件,,
1002241,件,,
1002242,件,,
1002266,件,,
1002267,件,,
1002268,件,,
1002269,件,,
1002270,件,,
1002272,件,,
1002273,件,,
1002274,件,,
1002276,件,,
1002278,件,,
1002279,件,,
1002317,件,,
1002318,件,,
1002319,件,,
1002320,件,,
1002321,件,,
1002322,件,,
1002323,件,,
1002324,件,,
1002326,件,,
1002803,件,,
1002922,件,,
1002923,件,,
1002924,件,,
1002925,件,,
1002926,件,,
1002927,件,,
1002928,件,,
1002929,件,,
1002930,件,,
1002931,件,,
1002948,件,,
1002949,件,,
1002950,件,,
1002951,件,,
1002952,件,,
1002953,件,,
1003020,件,,
1003021,件,,
1003022,件,,
1003023,件,,
1003024,件,,
1003025,件,,
1003026,件,,
1003027,件,,
1003028,件,,
1003029,件,,
1003030,件,,
1003031,件,,
1003032,件,,
1003033,件,,
1003034,件,,
1003035,件,,
1003036,件,,
1003037,件,,
1003038,件,,
1003039,件,,
1003040,件,,
1003041,件,,
1003042,件,,
1003043,件,,
1003044,件,,
1003076,件,,
1003152,件,,
1003174,件,,
1003175,件,,
1003176,件,,
1003177,件,,
1003178,件,,
1003179,件,,
1003180,件,,
1003181,件,,
1003189,件,,
1001078,件,,
1001079,件,,
1001080,件,,
1001081,件,,
1001082,件,,
1001083,件,,
1001084,件,,
1001085,件,,
1001086,件,,
1001087,件,,
1001088,件,,
1001089,件,,
1001090,件,,
1001091,件,,
1001092,件,,
1001093,件,,
1001095,件,,
1001096,件,,
1001097,件,,
1001098,件,,
1001099,件,,
1001100,件,,
1001393,件,,
1001394,件,,
1001395,件,,
1001396,件,,
1001447,件,,
1001570,件,,
1001571,件,,
1001572,件,,
1001573,件,,
1001574,件,,
1001575,件,,
1001576,件,,
1001577,件,,
1001783,件,,
1001784,件,,
1001785,件,,
1001786,件,,
1001787,件,,
1001788,件,,
1002103,件,,
1002104,件,,
1002105,件,,
1002106,件,,
1002107,件,,
1002108,件,,
1002109,件,,
1002245,件,,
1002246,件,,
1002247,件,,
1002248,件,,
1002249,件,,
1002250,件,,
1002251,件,,
1002252,件,,
1002253,件,,
1002254,件,,
1002255,件,,
1002256,件,,
1002257,件,,
1002258,件,,
1002259,件,,
1002280,件,,
1002281,件,,
1002282,件,,
1002283,件,,
1002284,件,,
1002285,件,,
1002286,件,,
1002287,件,,
1002304,件,,
1002306,件,,
1002314,件,,
1002316,件,,
1002325,件,,
1002738,件,,
1002739,件,,
1002740,件,,
1002908,件,,
1003165,件,,
1003166,件,,
1003167,件,,
1003168,件,,
1003169,件,,
1003170,件,,
1003171,件,,
1003172,件,,
1003173,件,,
1003182,件,,
1003226,件,,
1003227,件,,
1003228,件,,
1003229,件,,
1003230,件,,
1003231,件,,
1003232,件,,
1003233,件,,
1003234,件,,
1003235,件,,
1003236,件,,
1003237,件,,
1003238,件,,
1003239,件,,
1003240,件,,
1003241,件,,
1003242,件,,
1003243,件,,
1003244,件,,
1003245,件,,
1003246,件,,
1003247,件,,
1003248,件,,
1003249,件,,
1003250,件,,
1003251,件,,
1003252,件,,
1003253,件,,
1003254,件,,
1003255,件,,
1003256,件,,
1003257,件,,
1003258,件,,
1003259,件,,
1003260,件,,
1003261,件,,
1003262,件,,
1001266,袋,,
1001267,袋,,
1001268,箱,,
1001269,箱,,
1001270,袋,,
1001271,袋,,
1001272,箱,,
1001273,箱,,
1001274,箱,,
1001275,箱,,
1001276,袋,,
1001277,袋,,
1001278,袋,,
1001279,箱,,
1001280,箱,,
1001281,箱,,
1001282,袋,,
1001283,袋,,
1001284,箱,,
1001285,箱,,
1001286,箱,,
1001287,箱,,
1001288,袋,,
1001289,袋,,
1001290,袋,,
1001291,箱,,
1001292,箱,,
1001293,袋,,
1001294,袋,,
1001295,箱,,
1001296,箱,,
1001297,箱,,
1001298,袋,,
1001299,箱,,
1001300,箱,,
1001301,箱,,
1001302,袋,,
1001303,袋,,
1001304,袋,,
1001305,箱,,
1001306,箱,,
1001307,袋,,
1001308,袋,,
1001309,箱,,
1001310,箱,,
1001311,箱,,
1001312,箱,,
1001313,箱,,
1001314,箱,,
1001315,箱,,
1001316,袋,,
1001317,袋,,
1001318,袋,,
1001319,箱,,
1001320,箱,,
1001321,箱,,
1001322,箱,,
1001323,袋,,
1001327,袋,,
1001328,袋,,
1001329,袋,,
1001330,袋,,
1001331,袋,,
1001332,袋,,
1001333,袋,,
1001334,,,
1001335,,,
1001336,,,
1001337,,,
1001338,,,
1001339,,,
1001340,,,
1001341,袋,,
1001342,袋,,
1001343,袋,,
1001344,袋,,
1001345,袋,,
1001346,袋,,
1001347,袋,,
1001348,袋,,
1001349,袋,,
1001350,袋,,
1001351,袋,,
1001352,袋,,
1001353,袋,,
1001354,袋,,
1001355,袋,,
1001356,袋,,
1001357,袋,,
1001358,袋,,
1001359,袋,,
1001360,袋,,
1001361,袋,,
1001362,袋,,
1001363,袋,,
1001364,袋,,
1001365,袋,,
1001366,袋,,
1001367,袋,,
1001368,袋,,
1001369,袋,,
1001370,袋,,
1001371,袋,,
1001372,袋,,
1001373,袋,,
1001374,袋,,
1001375,箱,,
1001376,袋,,
1001377,袋,,
1001378,袋,,
1001379,袋,,
1001380,袋,,
1001381,袋,,
